subgraph_size,HARM,Model D,exhaustive_psv,hong_psv,model_psv,all_paths_time,exhaustive_time,hong_time,model_time,score_time,total_exhaustive_search_time
10,1.0,1.0,['CVE-2017-17485'],"['CVE-2017-17485', 'CVE-2018-8037', 'CVE-2018-1305', 'CVE-2019-16943', 'CVE-2019-0232', 'CVE-2019-17267', 'CVE-2019-20330', 'CVE-2018-19361', 'CVE-2019-14892', 'CVE-2018-19360', 'CVE-2019-14379', 'CVE-2019-17531', 'CVE-2019-14893', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2018-19362', 'CVE-2019-17563', 'CVE-2018-8014', 'CVE-2019-16335', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2019-10072', 'CVE-2018-8034', 'CVE-2017-3586', 'CVE-2019-0221', 'CVE-2018-11784']","['CVE-2017-17485', 'CVE-2018-8037', 'CVE-2018-1305', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2018-19362', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2019-20330', 'CVE-2019-10072', 'CVE-2019-17563', 'CVE-2018-8034', 'CVE-2018-8014', 'CVE-2018-11784', 'CVE-2019-0221', 'CVE-2019-0232', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2017-3586']",0.022941068004001863,0.6394310889954795,0.007146595002268441,0.00034315600350964814,2.1790998289361596e-05,0.6623721569994814
20,0.0,1.0,['CVE-2017-17485'],"['CVE-2018-8037', 'CVE-2017-17485', 'CVE-2018-1304', 'CVE-2019-0232', 'CVE-2019-17563', 'CVE-2018-8014', 'CVE-2018-1305', 'CVE-2019-16943', 'CVE-2019-17267', 'CVE-2019-20330', 'CVE-2018-19361', 'CVE-2019-14892', 'CVE-2020-1938', 'CVE-2018-19360', 'CVE-2019-14379', 'CVE-2019-17531', 'CVE-2019-14893', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2018-19362', 'CVE-2019-16335', 'CVE-2018-1336', 'CVE-2019-10072', 'CVE-2018-8034', 'CVE-2019-0221', 'CVE-2020-11996', 'CVE-2020-10683', 'CVE-2018-11784', 'CVE-2017-3586']","['CVE-2017-17485', 'CVE-2018-8037', 'CVE-2018-1305', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2018-19362', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2019-20330', 'CVE-2019-10072', 'CVE-2019-17563', 'CVE-2018-8034', 'CVE-2018-8014', 'CVE-2018-11784', 'CVE-2019-0221', 'CVE-2019-0232', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2017-3586', 'CVE-2020-11996', 'CVE-2020-1938', 'CVE-2020-10683']",0.024516372999642044,0.06374282999604475,0.017187350000313018,0.000683742000546772,2.010000025620684e-05,0.08825920299568679
30,0.5618151079689541,0.5950493950493951,"['CVE-2018-1305', 'CVE-2019-10072', 'CVE-2019-17563', 'CVE-2018-8034', 'CVE-2018-8014', 'CVE-2018-8037', 'CVE-2018-11784', 'CVE-2019-0221', 'CVE-2019-0232', 'CVE-2020-1938', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2017-3586']","['CVE-2019-0232', 'CVE-2018-8014', 'CVE-2019-17563', 'CVE-2018-1305', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2018-8034', 'CVE-2020-1938', 'CVE-2018-8037', 'CVE-2019-0221', 'CVE-2019-10072', 'CVE-2018-11784', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2018-19362', 'CVE-2020-11996', 'CVE-2017-3586', 'CVE-2019-16943', 'CVE-2019-17267', 'CVE-2019-20330', 'CVE-2019-14892', 'CVE-2020-10683', 'CVE-2019-14379', 'CVE-2019-17531', 'CVE-2019-14893', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16335']","['CVE-2018-1305', 'CVE-2020-1938', 'CVE-2018-8014', 'CVE-2018-1304', 'CVE-2019-0232', 'CVE-2017-3586', 'CVE-2019-17563', 'CVE-2018-8034', 'CVE-2018-1336', 'CVE-2019-0221', 'CVE-2018-11784', 'CVE-2019-10072', 'CVE-2018-8037', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2018-19362', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2019-20330', 'CVE-2020-11996', 'CVE-2020-10683']",0.030490434997773264,0.16366846099845134,0.03146293800091371,0.0011363220037310384,4.4389998947735876e-05,0.1941588959962246
40,0.5618151079689541,0.6274059274059276,"['CVE-2018-1305', 'CVE-2019-10072', 'CVE-2019-17563', 'CVE-2018-8034', 'CVE-2018-8014', 'CVE-2018-8037', 'CVE-2018-11784', 'CVE-2019-0221', 'CVE-2019-0232', 'CVE-2020-1938', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2017-3586']","['CVE-2019-0232', 'CVE-2018-8014', 'CVE-2018-1305', 'CVE-2019-17563', 'CVE-2020-1938', 'CVE-2018-1304', 'CVE-2018-8037', 'CVE-2018-1336', 'CVE-2018-8034', 'CVE-2019-0221', 'CVE-2019-10072', 'CVE-2018-11784', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2018-19362', 'CVE-2020-11996', 'CVE-2017-3586', 'CVE-2019-16943', 'CVE-2019-17267', 'CVE-2019-20330', 'CVE-2019-14892', 'CVE-2020-10683', 'CVE-2019-14379', 'CVE-2019-17531', 'CVE-2019-14893', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16335', 'CVE-2020-1935']","['CVE-2018-1305', 'CVE-2020-1938', 'CVE-2018-8014', 'CVE-2018-1304', 'CVE-2018-8037', 'CVE-2019-0232', 'CVE-2018-8034', 'CVE-2018-1336', 'CVE-2019-17563', 'CVE-2017-3586', 'CVE-2019-0221', 'CVE-2018-11784', 'CVE-2019-10072', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2018-19362', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2019-20330', 'CVE-2020-11996', 'CVE-2020-10683', 'CVE-2020-1935']",0.036706494000100065,0.20762247999664396,0.03468225000688108,0.0013460459958878346,4.5433000195771456e-05,0.24432897399674403
50,0.48961409830414987,0.5400348702038269,"['CVE-2018-1305', 'CVE-2018-8037', 'CVE-2017-17485', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2018-19362', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2019-20330', 'CVE-2019-10072', 'CVE-2019-17563', 'CVE-2018-8034', 'CVE-2018-8014', 'CVE-2018-11784', 'CVE-2019-0221', 'CVE-2019-0232', 'CVE-2020-1938', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2017-3586', 'CVE-2020-1935']","['CVE-2019-0232', 'CVE-2018-8014', 'CVE-2018-1305', 'CVE-2018-8037', 'CVE-2019-17563', 'CVE-2018-1304', 'CVE-2020-1938', 'CVE-2018-1336', 'CVE-2018-8034', 'CVE-2019-0221', 'CVE-2019-10072', 'CVE-2018-11784', 'CVE-2017-17485', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2018-19362', 'CVE-2019-16943', 'CVE-2019-17267', 'CVE-2019-20330', 'CVE-2019-14892', 'CVE-2019-14379', 'CVE-2019-17531', 'CVE-2019-14893', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16335', 'CVE-2020-11996', 'CVE-2017-3586', 'CVE-2020-10683', 'CVE-2020-1935']","['CVE-2018-1305', 'CVE-2020-1938', 'CVE-2017-17485', 'CVE-2018-8014', 'CVE-2018-1304', 'CVE-2018-8037', 'CVE-2019-0232', 'CVE-2018-8034', 'CVE-2018-1336', 'CVE-2019-17563', 'CVE-2017-3586', 'CVE-2019-0221', 'CVE-2020-1935', 'CVE-2018-11784', 'CVE-2019-10072', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2018-19362', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2019-20330', 'CVE-2020-11996', 'CVE-2020-10683']",0.044210662999830674,0.3144951209978899,0.042018366999400314,0.0016102810041047633,7.012899732217193e-05,0.3587057839977206
60,0.46358201426781365,0.48055318125785207,"['CVE-2018-1305', 'CVE-2017-3523', 'CVE-2018-8037', 'CVE-2017-17485', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2018-19362', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2019-20330', 'CVE-2019-10072', 'CVE-2019-17563', 'CVE-2018-8034', 'CVE-2018-8014', 'CVE-2018-11784', 'CVE-2019-0221', 'CVE-2019-0232', 'CVE-2020-1938', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2017-3586', 'CVE-2020-1935']","['CVE-2018-8014', 'CVE-2019-0232', 'CVE-2019-17563', 'CVE-2018-1305', 'CVE-2018-8037', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2018-8034', 'CVE-2020-1938', 'CVE-2019-0221', 'CVE-2019-10072', 'CVE-2018-11784', 'CVE-2017-17485', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2018-19362', 'CVE-2019-16943', 'CVE-2019-17267', 'CVE-2019-20330', 'CVE-2019-14892', 'CVE-2019-14379', 'CVE-2019-17531', 'CVE-2019-14893', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16335', 'CVE-2020-11996', 'CVE-2020-1935', 'CVE-2017-3523', 'CVE-2020-10683', 'CVE-2017-3586']","['CVE-2018-1305', 'CVE-2020-1938', 'CVE-2018-8014', 'CVE-2019-0232', 'CVE-2018-1304', 'CVE-2018-8034', 'CVE-2018-1336', 'CVE-2018-8037', 'CVE-2019-17563', 'CVE-2017-17485', 'CVE-2019-0221', 'CVE-2018-11784', 'CVE-2017-3586', 'CVE-2019-10072', 'CVE-2020-1935', 'CVE-2017-3523', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2018-19362', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2019-20330', 'CVE-2020-11996', 'CVE-2020-10683']",0.05538398500357289,0.36441511899465695,0.05268206199980341,0.0019924460066249594,7.253099465742707e-05,0.41979910399822984
70,0.4724237472474777,0.48055318125785207,"['CVE-2018-1305', 'CVE-2017-3523', 'CVE-2018-8037', 'CVE-2017-17485', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2018-19362', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2019-20330', 'CVE-2019-10072', 'CVE-2019-17563', 'CVE-2018-8034', 'CVE-2018-8014', 'CVE-2018-11784', 'CVE-2019-0221', 'CVE-2019-0232', 'CVE-2020-1938', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2017-3586', 'CVE-2020-1935']","['CVE-2018-8014', 'CVE-2019-0232', 'CVE-2018-1305', 'CVE-2019-17563', 'CVE-2018-8037', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2018-8034', 'CVE-2020-1938', 'CVE-2019-0221', 'CVE-2019-10072', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2018-19362', 'CVE-2018-11784', 'CVE-2019-16943', 'CVE-2019-17267', 'CVE-2019-20330', 'CVE-2019-14892', 'CVE-2019-14379', 'CVE-2019-17531', 'CVE-2019-14893', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16335', 'CVE-2017-17485', 'CVE-2020-11996', 'CVE-2020-1935', 'CVE-2017-3523', 'CVE-2020-10683', 'CVE-2017-3586']","['CVE-2018-1305', 'CVE-2020-1938', 'CVE-2018-8014', 'CVE-2019-0232', 'CVE-2018-1304', 'CVE-2018-8034', 'CVE-2018-1336', 'CVE-2018-8037', 'CVE-2019-17563', 'CVE-2017-17485', 'CVE-2019-0221', 'CVE-2018-11784', 'CVE-2017-3586', 'CVE-2019-10072', 'CVE-2020-1935', 'CVE-2017-3523', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2018-19362', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2019-20330', 'CVE-2020-11996', 'CVE-2020-10683']",0.06849122000130592,0.384046301995113,0.0591501600065385,0.0022670010002912022,7.213699427666143e-05,0.45253752199641895
80,0.45359609789449323,0.4487727253167339,"['CVE-2018-1305', 'CVE-2017-3523', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2018-19362', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2019-20330', 'CVE-2020-10683', 'CVE-2019-17563', 'CVE-2018-8034', 'CVE-2018-8014', 'CVE-2018-11784', 'CVE-2019-0221', 'CVE-2019-0232', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2017-3586', 'CVE-2019-10072', 'CVE-2018-8037', 'CVE-2020-11996', 'CVE-2020-1938', 'CVE-2017-17485', 'CVE-2020-1935']","['CVE-2018-8014', 'CVE-2019-0232', 'CVE-2019-17563', 'CVE-2018-1305', 'CVE-2018-8037', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2018-8034', 'CVE-2020-1938', 'CVE-2019-0221', 'CVE-2019-10072', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2018-19362', 'CVE-2018-11784', 'CVE-2019-16943', 'CVE-2019-17267', 'CVE-2019-20330', 'CVE-2019-14892', 'CVE-2019-14379', 'CVE-2019-17531', 'CVE-2019-14893', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16335', 'CVE-2017-17485', 'CVE-2020-11996', 'CVE-2020-1935', 'CVE-2017-3523', 'CVE-2020-10683', 'CVE-2017-3586']","['CVE-2018-1305', 'CVE-2020-1938', 'CVE-2018-8014', 'CVE-2019-0232', 'CVE-2018-1304', 'CVE-2018-8034', 'CVE-2018-1336', 'CVE-2018-8037', 'CVE-2019-17563', 'CVE-2017-17485', 'CVE-2019-0221', 'CVE-2018-11784', 'CVE-2017-3586', 'CVE-2019-10072', 'CVE-2020-1935', 'CVE-2017-3523', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2018-19362', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2019-20330', 'CVE-2020-10683', 'CVE-2020-11996']",0.08451129499735544,0.3951577490006457,0.059428997003124095,0.0024052520020632073,7.54329957999289e-05,0.47966904399800114
90,0.45359609789449323,0.4563911285411102,"['CVE-2018-1305', 'CVE-2017-3523', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2018-19362', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2019-20330', 'CVE-2020-10683', 'CVE-2019-17563', 'CVE-2018-8034', 'CVE-2018-8014', 'CVE-2018-11784', 'CVE-2019-0221', 'CVE-2019-0232', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2017-3586', 'CVE-2019-10072', 'CVE-2018-8037', 'CVE-2020-11996', 'CVE-2020-1938', 'CVE-2017-17485', 'CVE-2020-1935']","['CVE-2018-8014', 'CVE-2019-0232', 'CVE-2019-17563', 'CVE-2018-1305', 'CVE-2018-8037', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2018-8034', 'CVE-2020-1938', 'CVE-2019-0221', 'CVE-2019-10072', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2018-19362', 'CVE-2018-11784', 'CVE-2019-16943', 'CVE-2019-17267', 'CVE-2019-20330', 'CVE-2019-14892', 'CVE-2019-14379', 'CVE-2019-17531', 'CVE-2019-14893', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16335', 'CVE-2017-17485', 'CVE-2020-11996', 'CVE-2020-1935', 'CVE-2017-3523', 'CVE-2020-10683', 'CVE-2017-3586']","['CVE-2018-1305', 'CVE-2018-8014', 'CVE-2019-0232', 'CVE-2018-8034', 'CVE-2018-1336', 'CVE-2019-17563', 'CVE-2020-1938', 'CVE-2018-1304', 'CVE-2019-0221', 'CVE-2018-8037', 'CVE-2019-10072', 'CVE-2018-11784', 'CVE-2017-3523', 'CVE-2017-17485', 'CVE-2018-19362', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2020-11996', 'CVE-2017-3586', 'CVE-2020-1935', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2019-20330', 'CVE-2020-10683']",0.1158191499998793,0.39417495200177655,0.060784029999922495,0.002505126998585183,8.0568999692332e-05,0.5099941020016558
100,0.45359609789449323,0.4762140117197752,"['CVE-2018-1305', 'CVE-2017-3523', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2018-19362', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2019-20330', 'CVE-2020-10683', 'CVE-2019-17563', 'CVE-2018-8034', 'CVE-2018-8014', 'CVE-2018-11784', 'CVE-2019-0221', 'CVE-2019-0232', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2017-3586', 'CVE-2019-10072', 'CVE-2018-8037', 'CVE-2020-11996', 'CVE-2020-1938', 'CVE-2017-17485', 'CVE-2020-1935']","['CVE-2018-8014', 'CVE-2019-0232', 'CVE-2019-17563', 'CVE-2018-1305', 'CVE-2018-8037', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2018-8034', 'CVE-2020-1938', 'CVE-2019-0221', 'CVE-2019-10072', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2018-19362', 'CVE-2018-11784', 'CVE-2019-16943', 'CVE-2019-17267', 'CVE-2019-20330', 'CVE-2019-14892', 'CVE-2019-14379', 'CVE-2019-17531', 'CVE-2019-14893', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16335', 'CVE-2017-17485', 'CVE-2020-11996', 'CVE-2020-1935', 'CVE-2017-3523', 'CVE-2020-10683', 'CVE-2017-3586']","['CVE-2018-1305', 'CVE-2018-8014', 'CVE-2019-0232', 'CVE-2018-8034', 'CVE-2018-1336', 'CVE-2019-17563', 'CVE-2020-1938', 'CVE-2018-1304', 'CVE-2019-0221', 'CVE-2018-8037', 'CVE-2019-10072', 'CVE-2018-11784', 'CVE-2017-3523', 'CVE-2018-19362', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2017-17485', 'CVE-2020-11996', 'CVE-2017-3586', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2019-20330', 'CVE-2020-1935', 'CVE-2020-10683']",0.13772588800202357,0.39587660299730487,0.061058065002725925,0.002659701000084169,7.530999573646113e-05,0.5336024909993284
110,0.45359609789449323,0.4998512481768241,"['CVE-2018-1305', 'CVE-2017-3523', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2018-19362', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2019-20330', 'CVE-2020-10683', 'CVE-2019-17563', 'CVE-2018-8034', 'CVE-2018-8014', 'CVE-2018-11784', 'CVE-2019-0221', 'CVE-2019-0232', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2017-3586', 'CVE-2019-10072', 'CVE-2018-8037', 'CVE-2020-11996', 'CVE-2020-1938', 'CVE-2017-17485', 'CVE-2020-1935']","['CVE-2018-8014', 'CVE-2019-0232', 'CVE-2019-17563', 'CVE-2018-1305', 'CVE-2018-8037', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2018-8034', 'CVE-2020-1938', 'CVE-2019-0221', 'CVE-2019-10072', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2018-19362', 'CVE-2018-11784', 'CVE-2019-16943', 'CVE-2019-17267', 'CVE-2019-20330', 'CVE-2019-14892', 'CVE-2019-14379', 'CVE-2019-17531', 'CVE-2019-14893', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16335', 'CVE-2017-17485', 'CVE-2020-11996', 'CVE-2020-1935', 'CVE-2017-3523', 'CVE-2020-10683', 'CVE-2017-3586']","['CVE-2018-1305', 'CVE-2018-8014', 'CVE-2019-0232', 'CVE-2018-8034', 'CVE-2018-1336', 'CVE-2019-17563', 'CVE-2018-1304', 'CVE-2019-0221', 'CVE-2020-1938', 'CVE-2018-11784', 'CVE-2018-8037', 'CVE-2019-10072', 'CVE-2017-3523', 'CVE-2018-19362', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2017-17485', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2019-20330', 'CVE-2020-11996', 'CVE-2017-3586', 'CVE-2020-1935', 'CVE-2020-10683']",0.19830450000154087,0.3950277929980075,0.06209524600126315,0.002806283999234438,7.569500303361565e-05,0.5933322929995484
120,0.45359609789449323,0.5151315940796,"['CVE-2018-1305', 'CVE-2017-3523', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2018-19362', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2019-20330', 'CVE-2020-10683', 'CVE-2019-17563', 'CVE-2018-8034', 'CVE-2018-8014', 'CVE-2018-11784', 'CVE-2019-0221', 'CVE-2019-0232', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2017-3586', 'CVE-2019-10072', 'CVE-2018-8037', 'CVE-2020-11996', 'CVE-2020-1938', 'CVE-2017-17485', 'CVE-2020-1935']","['CVE-2018-8014', 'CVE-2019-0232', 'CVE-2019-17563', 'CVE-2018-1305', 'CVE-2018-8037', 'CVE-2018-1304', 'CVE-2018-1336', 'CVE-2018-8034', 'CVE-2020-1938', 'CVE-2019-0221', 'CVE-2019-10072', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2018-19362', 'CVE-2018-11784', 'CVE-2019-16943', 'CVE-2019-17267', 'CVE-2019-20330', 'CVE-2019-14892', 'CVE-2019-14379', 'CVE-2019-17531', 'CVE-2019-14893', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16335', 'CVE-2017-17485', 'CVE-2020-11996', 'CVE-2020-1935', 'CVE-2017-3523', 'CVE-2020-10683', 'CVE-2017-3586']","['CVE-2018-1305', 'CVE-2018-8014', 'CVE-2019-0232', 'CVE-2018-8034', 'CVE-2018-1336', 'CVE-2019-17563', 'CVE-2018-1304', 'CVE-2019-0221', 'CVE-2018-11784', 'CVE-2020-1938', 'CVE-2018-8037', 'CVE-2019-10072', 'CVE-2017-3523', 'CVE-2018-19362', 'CVE-2018-19361', 'CVE-2018-19360', 'CVE-2019-14893', 'CVE-2019-16335', 'CVE-2019-14892', 'CVE-2020-8840', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2019-17531', 'CVE-2019-14379', 'CVE-2019-17267', 'CVE-2019-20330', 'CVE-2017-17485', 'CVE-2020-11996', 'CVE-2017-3586', 'CVE-2020-1935', 'CVE-2020-10683']",0.2423138759986614,0.39681146999646444,0.06656998000107706,0.002917839003202971,7.536300108768046e-05,0.6391253459951258
